a_core_path	b_core_nonpath	c_exp_path	d_exp_nonpath	n_core	n_exposed	core_fn_frac	recall_core	recall_exposed	rd	rr	or_raw	or_haldane	cut	n_loss_ce	core_gt_exposed	rd_positive
300	9	30	32	309	62	0.02912621359223301	0.970873786407767	0.4838709677419355	0.4870028186658315	2.0064724919093853	35.55555555555556	33.70578084555651	-3.0	371	True	True
342	13	34	34	355	68	0.036619718309859155	0.9633802816901409	0.5	0.4633802816901409	1.9267605633802818	26.307692307692307	25.37037037037037	-2.9	423	True	True
380	16	38	38	396	76	0.04040404040404041	0.9595959595959596	0.5	0.45959595959595956	1.9191919191919191	23.75	23.060606060606062	-2.8	472	True	True
419	17	48	42	436	90	0.0389908256880734	0.9610091743119266	0.5333333333333333	0.42767584097859324	1.8018922018348624	21.566176470588236	21.005891016200295	-2.7	526	True	True
473	18	49	48	491	97	0.03665987780040733	0.9633401221995926	0.5051546391752577	0.4581854830243349	1.9070202419053162	25.741496598639454	25.077532077532076	-2.6	588	True	True
518	20	51	54	538	105	0.03717472118959108	0.9628252788104089	0.4857142857142857	0.4771109930961232	1.9822873387273126	27.423529411764704	26.76604309732418	-2.5	643	True	True
568	21	61	59	589	120	0.035653650254668934	0.9643463497453311	0.5083333333333333	0.45601301641199776	1.8970747863842579	26.160811865729897	25.581962563811686	-2.4	709	True	True
633	21	66	65	654	131	0.03211009174311927	0.9678899082568807	0.5038167938931297	0.464073114363751	1.921114817903809	29.686147186147185	29.02203182374541	-2.3	785	True	True
709	22	72	75	731	147	0.030095759233926128	0.9699042407660738	0.4897959183673469	0.4801083223987269	1.980221158230734	33.57007575757576	32.83816091954023	-2.2	878	True	True
785	24	76	80	809	156	0.029666254635352288	0.9703337453646477	0.48717948717948717	0.4831542581851605	1.9917376878537505	34.42982456140351	33.737628384687206	-2.1	965	True	True
866	27	86	88	893	174	0.030235162374020158	0.9697648376259799	0.4942528735632184	0.47551196406276147	1.9620823458944243	32.819982773471146	32.23762480294272	-2.0	1067	True	True
976	30	98	95	1006	193	0.02982107355864811	0.9701789264413518	0.5077720207253886	0.4624069057159632	1.910658497991642	31.537414965986393	31.04127486061413	-1.9	1199	True	True
1077	32	106	102	1109	208	0.028854824165915238	0.9711451758340848	0.5096153846153846	0.4615297912187002	1.9056433639008457	32.38620283018868	31.90863127482846	-1.8	1317	True	True
1174	36	113	118	1210	231	0.02975206611570248	0.9702479338842975	0.48917748917748916	0.4810704447068084	1.98342719227675	34.054080629301865	33.59561885221169	-1.7	1441	True	True
1262	42	120	126	1304	246	0.032208588957055216	0.9677914110429447	0.4878048780487805	0.47998653299416427	1.9839723926380368	31.55	31.18501342445692	-1.6	1550	True	True
1357	48	127	142	1405	269	0.03416370106761566	0.9658362989323843	0.4721189591078067	0.4937173398245776	2.0457477512819793	31.60990813648294	31.282595512431776	-1.5	1674	True	True
1448	56	139	156	1504	295	0.03723404255319149	0.9627659574468085	0.4711864406779661	0.4915795167688424	2.0432802694015	29.019527235354573	28.761410854188473	-1.4	1799	True	True
1542	61	152	174	1603	326	0.038053649407361195	0.9619463505926388	0.4662576687116564	0.49568868188098236	2.0631217782447386	28.937446074201898	28.699586831933892	-1.3	1929	True	True
1632	71	177	201	1703	378	0.04169113329418673	0.9583088667058133	0.46825396825396826	0.490054898451845	2.046557918727669	26.10264979708761	25.91933418693982	-1.2	2081	True	True
1722	78	186	228	1800	414	0.043333333333333335	0.9566666666666667	0.4492753623188406	0.5073913043478261	2.1293548387096775	27.062034739454095	26.88418913611448	-1.1	2214	True	True
1815	88	198	250	1903	448	0.046242774566473986	0.953757225433526	0.4419642857142857	0.5117929397192403	2.157996146435453	26.041666666666668	25.888101438756777	-1.0	2351	True	True
