core_cutoff	exposed_cutoff	n_diff_vs_locked	n_CORE	n_EXPOSED	n_GREY
5	25	61	141	175	238
5	30	50	141	164	249
5	35	66	141	148	265
5	40	89	141	125	288
8	25	29	173	175	206
8	30	18	173	164	217
8	35	34	173	148	233
8	40	57	173	125	256
10	25	11	191	175	188
10	30	0	191	164	199
10	35	16	191	148	215
10	40	39	191	125	238
12	25	29	209	175	170
12	30	18	209	164	181
12	35	34	209	148	197
12	40	57	209	125	220
15	25	57	237	175	142
15	30	46	237	164	153
15	35	62	237	148	169
15	40	85	237	125	192
